Time,Kinetic_E,Potential_E,Total_E
0.9300,6328623.0231,-1617579.5806,4711043.4426
0.9400,6363777.3537,-1685715.6779,4678061.6757
0.9500,6408766.3995,-1731584.2685,4677182.1310
0.9600,6448204.3040,-1732721.2591,4715483.0449
0.9700,6464412.8878,-1696644.9872,4767767.9005
0.9800,6496438.6994,-1644549.8188,4851888.8806
0.9900,6523819.5145,-1695512.3543,4828307.1602
1.0000,6486165.9567,-1680050.3842,4806115.5725
1.0100,6387002.9164,-1745659.4437,4641343.4727
1.0200,6310190.2719,-1611175.3461,4699014.9258
1.0300,6269151.1635,-1663669.2911,4605481.8724
1.0400,6233400.2840,-1660126.3798,4573273.9042
1.0500,6195329.0306,-1566646.6146,4628682.4161
1.0600,6236813.5058,-1673022.4386,4563791.0672
1.0700,6255752.7582,-1628224.8079,4627527.9502
1.0800,6251660.0981,-1587757.1747,4663902.9234
1.0900,6197692.6738,-1707104.9574,4490587.7164
1.1000,6183578.4536,-1680075.6154,4503502.8383
1.1100,6164287.4764,-1681849.9127,4482437.5637
1.1200,6156505.2107,-1555460.3454,4601044.8652
1.1300,6149384.9897,-1567454.2130,4581930.7767
1.1400,6145380.8651,-1701960.7622,4443420.1028
1.1500,6154781.4891,-1576934.9638,4577846.5253
1.1600,6114185.5382,-1636798.8486,4477386.6896
1.1700,6127318.3554,-1593502.1679,4533816.1874
1.1800,6099186.2133,-1672355.7833,4426830.4300
1.1900,6103077.9401,-1582257.7551,4520820.1850
1.2000,6095431.5135,-1528885.9252,4566545.5883
1.2100,6093562.2044,-1612496.4975,4481065.7069
1.2200,6122504.9595,-1643864.6825,4478640.2769
1.2300,6172464.9909,-1649095.4454,4523369.5455
1.2400,6176792.3988,-1632993.6120,4543798.7868
1.2500,6168364.5252,-1690082.0479,4478282.4773
1.2600,6147804.0778,-1488191.9197,4659612.1581
1.2700,6176890.9133,-1543217.9249,4633672.9884
1.2800,6319345.2099,-1610785.3580,4708559.8519
1.2900,6485761.9083,-1593633.9462,4892127.9621
1.3000,6648829.6831,-1646086.3046,5002743.3784
1.3100,6792824.8868,-1684097.2629,5108727.6239
1.3200,6971149.8472,-1574250.7388,5396899.1083
1.3300,6990644.9253,-1749294.4971,5241350.4282
1.3400,6886312.6370,-1744137.1911,5142175.4459
1.3500,6701328.6773,-1629888.0970,5071440.5804
1.3600,6531793.6642,-1543313.3263,4988480.3379
1.3700,6379160.8418,-1643273.4511,4735887.3907
1.3800,6264905.1159,-1662587.8972,4602317.2187
1.3900,6232929.9165,-1678400.4231,4554529.4934
1.4000,6253411.8655,-1619949.7163,4633462.1492
1.4100,6238162.2618,-1601854.3564,4636307.9054
1.4200,6199501.8082,-1596703.1221,4602798.6861
1.4300,6165676.9934,-1660593.7906,4505083.2029
1.4400,6120504.3477,-1627022.8082,4493481.5395
1.4500,6111899.7095,-1607099.8808,4504799.8287
1.4600,6058372.0540,-1562791.5173,4495580.5367
1.4700,6003695.7867,-1579437.7725,4424258.0143
1.4800,6019515.7909,-1576203.7768,4443312.0141
1.4900,6013880.6833,-1586222.3852,4427658.2981
1.5000,6029373.0845,-1589522.5944,4439850.4901
1.5100,6043215.3377,-1607556.3317,4435659.0060
1.5200,6081150.7784,-1586330.9764,4494819.8020
1.5300,6100749.4352,-1558108.1340,4542641.3011
1.5400,6114898.6033,-1674146.7321,4440751.8712
1.5500,6148714.3137,-1565831.4697,4582882.8440
1.5600,6188227.4354,-1649379.6759,4538847.7595
1.5700,6155232.9168,-1587568.0102,4567664.9066
1.5800,6171470.6577,-1660083.9631,4511386.6946
1.5900,6111259.6396,-1565936.4239,4545323.2157
1.6000,6069137.8863,-1620029.0512,4449108.8351
1.6100,6068141.0367,-1605954.9310,4462186.1057
1.6200,6135297.3398,-1670671.9369,4464625.4028
1.6300,6142339.7839,-1648799.0369,4493540.7470
1.6400,6209748.1840,-1614071.6247,4595676.5593
1.6500,6254802.5855,-1565243.4306,4689559.1550
1.6600,6287726.8031,-1523214.0582,4764512.7449
1.6700,6307463.0999,-1628909.0496,4678554.0503
1.6800,6347244.6661,-1585650.1610,4761594.5052
1.6900,6431193.5807,-1584050.6141,4847142.9666
1.7000,6482881.4855,-1694752.8920,4788128.5934
1.7100,6538288.6643,-1579095.3162,4959193.3482
1.7200,6584398.2427,-1721056.9908,4863341.2518
1.7300,6557242.2727,-1619238.5941,4938003.6786
1.7400,6487182.2787,-1689536.4690,4797645.8097
1.7500,6449173.9836,-1676368.2690,4772805.7146
1.7600,6460161.9056,-1683781.8218,4776380.0839
1.7700,6469972.7114,-1673655.3900,4796317.3213
1.7800,6521508.3063,-1623049.0377,4898459.2686
1.7900,6577516.9089,-1610176.9757,4967339.9332
1.8000,6596181.3507,-1676430.5788,4919750.7719
1.8100,6569443.9293,-1529589.4946,5039854.4347
1.8200,6542054.5997,-1750763.2534,4791291.3464
1.8300,6526432.4653,-1613771.5434,4912660.9219
1.8400,6542327.3932,-1670083.1146,4872244.2786
1.8500,6554917.2289,-1624623.5976,4930293.6314
1.8600,6565552.8073,-1609994.1755,4955558.6318
1.8700,6609764.9597,-1589113.6452,5020651.3144
1.8800,6689729.6226,-1606468.8275,5083260.7951
1.8900,6767077.3196,-1682165.0963,5084912.2232
1.9000,6846678.2250,-1641210.3340,5205467.8910
1.9100,6908465.1649,-1694572.2483,5213892.9166
1.9200,6973141.4670,-1700996.8199,5272144.6471
1.9300,7056011.8634,-1695874.8809,5360136.9826
1.9400,7105479.9461,-1687734.7203,5417745.2257
1.9500,7224290.7395,-1717116.8067,5507173.9328
1.9600,7185137.8690,-1725307.1228,5459830.7462
1.9700,7131012.0604,-1623372.2234,5507639.8369
1.9800,7049838.9522,-1648173.3314,5401665.6208
1.9900,7032409.7985,-1779733.6205,5252676.1781
2.0000,7068824.4007,-1733066.8070,5335757.5936
2.0100,7117303.5469,-1667780.7605,5449522.7864
2.0200,7158001.5464,-1684676.3275,5473325.2189
2.0300,7268986.7398,-1641242.4393,5627744.3005
2.0400,7303290.5811,-1682417.3346,5620873.2465
2.0500,7313586.8555,-1669485.7163,5644101.1392
2.0600,7366106.4414,-1640686.5544,5725419.8870
2.0700,7381729.1169,-1777033.1849,5604695.9320
2.0800,7388102.8637,-1796365.3886,5591737.4751
2.0900,7419204.3935,-1642095.7384,5777108.6551
2.1000,7489162.5427,-1674760.2389,5814402.3038
2.1100,7539730.1523,-1708363.8086,5831366.3436
2.1200,7623756.9158,-1770586.1168,5853170.7990
2.1300,7740453.8592,-1752012.1103,5988441.7489
2.1400,7897577.8274,-1754415.9708,6143161.8566
2.1500,8034207.0844,-1796170.7204,6238036.3640
2.1600,8124536.5377,-1789648.1866,6334888.3511
